Network,Demand,Goodwill,Backlog,Agent,Profit_Mean,Profit_Std,FillRate_Mean,AvgInv_Mean,Unfulfilled_Mean,Time_Mean_Sec,Num_Seeds
base,trend+seasonal,False,False,Oracle,1142.1958,57.62684852531835,0.7733962717525001,529.5733333333333,218.6,0.49526615142822267,5
base,trend+seasonal,False,False,DLP,1064.273,37.34830017551002,0.7547650885563031,619.8133333333333,237.0,3.0909861087799073,5
base,trend+seasonal,False,False,DLP_Blind,972.132,44.99176575774727,0.7130582758361299,634.1600000000001,277.0,3.88226261138916,5
base,trend+seasonal,True,True,Oracle,989.5748,37.33280372755309,0.0044506258692628585,479.0666666666667,824.4,0.32695612907409666,5
base,trend+seasonal,True,True,DLP,800.6030000000001,97.56268454691062,0.23603616956005052,634.9733333333334,468.0,2.746993589401245,5
base,trend+seasonal,True,True,DLP_Blind,588.289,46.25550393196467,0.3896082061700833,690.9866666666668,321.2,3.163366985321045,5
base,trend+seasonal,True,False,Oracle,720.9208000000001,25.653068646070352,0.7481245363530371,572.5466666666666,190.0,0.46236238479614256,5
base,trend+seasonal,True,False,DLP,623.743,58.26572256481501,0.776964570788282,695.6333333333333,149.6,3.5985565185546875,5
base,trend+seasonal,True,False,DLP_Blind,553.892,40.626185348860915,0.8194883716551242,716.6666666666667,108.8,2.596390151977539,5
base,trend+shock,False,True,Oracle,2979.0724,76.72424290300953,0.8658936427574753,316.94666666666666,222.0,0.14718031883239746,5
base,trend+shock,False,True,DLP,2293.549,20.474040734549604,0.38389359614884633,366.0133333333333,1020.4,1.8120947360992432,5
